,date,homeless,coronavirus,covid homeless testing
0,2020-05-03,58,21.0,0.0
1,2020-04-26,59,22.0,33.0
2,2020-04-19,59,38.0,99.0
3,2020-04-12,62,48.0,100.0
4,2020-04-05,62,60.0,34.0
5,2020-03-29,69,61.0,68.0
6,2020-03-22,73,76.0,35.0
7,2020-03-15,74,100.0,0.0
8,2020-03-08,64,75.0,0.0
9,2020-03-01,68,31.0,36.0
10,2020-02-23,70,16.0,0.0
11,2020-02-16,68,4.0,0.0
12,2020-02-09,68,6.0,0.0
13,2020-02-02,70,8.0,0.0
14,2020-01-26,71,13.0,0.0
15,2020-01-19,75,5.0,0.0
16,2020-01-12,73,0.0,0.0
17,2020-01-05,70,0.0,0.0
18,2019-12-29,69,0.0,0.0
19,2019-12-22,74,0.0,0.0
20,2019-12-15,77,0.0,0.0
21,2019-12-08,76,0.0,0.0
22,2019-12-01,81,0.0,0.0
23,2019-11-24,76,0.0,0.0
24,2019-11-17,86,0.0,0.0
25,2019-11-10,88,0.0,0.0
26,2019-11-03,83,0.0,0.0
27,2019-10-27,72,0.0,0.0
28,2019-10-20,70,0.0,0.0
29,2019-10-13,71,0.0,0.0
30,2019-10-06,80,0.0,0.0
31,2019-09-29,81,0.0,0.0
32,2019-09-22,71,0.0,0.0
33,2019-09-15,75,0.0,0.0
34,2019-09-08,66,0.0,0.0
35,2019-09-01,61,0.0,0.0
36,2019-08-25,67,0.0,0.0
37,2019-08-18,75,0.0,0.0
38,2019-08-11,65,0.0,0.0
39,2019-08-04,63,0.0,0.0
40,2019-07-28,62,0.0,0.0
41,2019-07-21,72,0.0,0.0
42,2019-07-14,71,0.0,0.0
43,2019-07-07,69,0.0,0.0
44,2019-06-30,67,0.0,0.0
45,2019-06-23,69,0.0,0.0
46,2019-06-16,64,0.0,0.0
47,2019-06-09,64,0.0,0.0
48,2019-06-02,69,0.0,0.0
49,2019-05-26,63,0.0,0.0
50,2019-05-19,65,0.0,0.0
51,2019-05-12,66,0.0,0.0
52,2019-05-05,65,0.0,0.0
53,2019-04-28,67,0.0,0.0
54,2019-04-21,65,0.0,0.0
55,2019-04-14,63,0.0,0.0
56,2019-04-07,61,0.0,0.0
57,2019-03-31,63,0.0,0.0
58,2019-03-24,65,0.0,0.0
59,2019-03-17,67,0.0,0.0
60,2019-03-10,61,0.0,0.0
61,2019-03-03,65,0.0,0.0
62,2019-02-24,64,0.0,0.0
63,2019-02-17,63,0.0,0.0
64,2019-02-10,66,0.0,0.0
65,2019-02-03,71,0.0,0.0
66,2019-01-27,96,0.0,0.0
67,2019-01-20,67,0.0,0.0
68,2019-01-13,69,0.0,0.0
69,2019-01-06,69,0.0,0.0
70,2018-12-30,58,0.0,0.0
71,2018-12-23,65,0.0,0.0
72,2018-12-16,72,0.0,0.0
73,2018-12-09,79,0.0,0.0
74,2018-12-02,77,0.0,0.0
75,2018-11-25,76,0.0,0.0
76,2018-11-18,80,0.0,0.0
77,2018-11-11,100,0.0,0.0
78,2018-11-04,75,0.0,0.0
79,2018-10-28,74,0.0,0.0
80,2018-10-21,75,0.0,0.0
81,2018-10-14,71,0.0,0.0
82,2018-10-07,68,0.0,0.0
83,2018-09-30,72,0.0,0.0
84,2018-09-23,69,0.0,0.0
85,2018-09-16,66,0.0,0.0
86,2018-09-09,67,0.0,0.0
87,2018-09-02,79,0.0,0.0
88,2018-08-26,62,0.0,0.0
89,2018-08-19,64,0.0,0.0
90,2018-08-12,63,0.0,0.0
91,2018-08-05,61,0.0,0.0
92,2018-07-29,63,0.0,0.0
93,2018-07-22,65,0.0,0.0
94,2018-07-15,63,0.0,0.0
95,2018-07-08,60,0.0,0.0
96,2018-07-01,59,0.0,0.0
97,2018-06-24,60,0.0,0.0
98,2018-06-17,62,0.0,0.0
99,2018-06-10,63,0.0,0.0
