,Geography :: United States,,,,,,My Metrix,,,,,
,Universe :: Home and Work,,,,,,"(c)2014 comScore, Inc",,,,,
,Time Period :: December 2013,,,,,,,,,,,
,Target :: Total Audience,,,,,,,,,,,
,Media :: Top 100 Properties [Undup.],,,,,,,,,,,
,Date :: 7/3/2014,,,,,,,,,,,
,,,,,,,,,,,,
,Category,Total Unique Visitors (000),% Reach,% Composition Unique Visitors,Composition Index UV,Composition Index PV,Average Daily Visitors (000),Total Minutes (MM),Total Pages Viewed (MM),Total Visits (000),Average Minutes per Visit,Average Visits per Visitor
    Total Internet : Total Audience  ,,224057.317,100,100,100,100,165515.979,429104.439,649965.976,16281175.35,26.356,72.665
    Top 100 Properties,,,,,,,,,,,,
    Yahoo Sites,Portals,195160.326,87.103,100,100,100,53141.213,32636.743,29397.872,3586795.67,9.099,18.379
        Yahoo,Portals,194698.723,86.897,100,100,100,53030.657,32601.448,29330.992,3580642.396,9.105,18.391
            Yahoo Homepages,Corporate Presence,102025.913,45.536,100,100,100,35695.803,2879.005,4587.517,2129093.416,1.352,20.868
                Yahoo U.S. Homepages,Corporate Presence,101049.273,45.1,100,100,100,35252.971,2824.917,4501.302,2093407.949,1.349,20.717
                    Yahoo U.S. Insider Homepage,Corporate Presence,3466.8,1.547,100,100,100,893.076,43.129,39.797,36624.197,1.178,10.564
                Yahoo U.K. Homepages,Corporate Presence,525.17,0.234,100,100,100,75.899,2.274,4.375,2904.57,0.783,5.531
                    Yahoo Messenger UK & Ireland Insider,Corporate Presence,18.171,0.008,100,100,,,,,,,
                Yahoo India Homepages,Corporate Presence,367.62,0.164,100,100,100,91.987,4.203,6.522,4150.228,1.013,11.289
                Yahoo Canada Homepages,Corporate Presence,341.069,0.152,100,100,100,71.709,2.199,5.582,2709.158,0.812,7.943
                Yahoo Taiwan Homepages,Corporate Presence,279.223,0.125,100,100,100,96.901,4.985,9.869,6266.68,0.795,22.443
                Yahoo Japan Homepages,Corporate Presence,236.72,0.106,100,100,100,74.237,15.164,22.295,8312.43,1.824,35.115
                Yahoo France Homepages,Corporate Presence,211.123,0.094,100,100,100,83.118,3.839,5.255,3495.437,1.098,16.556
                    Yahoo France Messenger Insider,Corporate Presence,0.133,0,100,100,,,,,,,
                Yahoo Spain Homepages,Corporate Presence,182.061,0.081,100,100,100,34.441,2.186,3.911,1892.537,1.155,10.395
                    Yahoo Spain Messenger Insider,Corporate Presence,16.606,0.007,100,100,,,,,,,
                Yahoo Philippines Homepages,Corporate Presence,176.585,0.079,100,100,100,49.096,1.326,2.479,2175.834,0.609,12.322
                Yahoo Mexico Homepages,Corporate Presence,168.734,0.075,100,100,100,49.984,3.273,5.459,2248.817,1.456,13.328
                Yahoo Hong Kong Homepages,Corporate Presence,159.967,0.071,100,100,100,31.959,4.471,6.746,2655.503,1.684,16.6
                Yahoo Singapore Homepages,Corporate Presence,124.636,0.056,100,100,100,22.857,0.763,1.078,872.135,0.875,6.997
                Yahoo Vietnam Homepages,Corporate Presence,54.836,0.024,100,100,100,16.091,1.399,1.664,1175.123,1.191,21.43
                Yahoo7 Homepages,Corporate Presence,53.126,0.024,100,100,,,,,,,
                Yahoo China Homepages,Corporate Presence,42.331,0.019,100,100,,,,,,,
                Yahoo Maktoob Homepages,Corporate Presence,35.32,0.016,100,100,,,,,,,
                Yahoo Brazil Homepages,Corporate Presence,32.411,0.014,100,100,,,,,,,
                Yahoo Argentina Homepages,Corporate Presence,26.445,0.012,100,100,,,,,,,
                Yahoo Germany Homepages,Corporate Presence,24.567,0.011,100,100,,,,,,,
                Yahoo Russia Homepages,Corporate Presence,17.259,0.008,100,100,,,,,,,
                Yahoo Italy Homepages,Corporate Presence,9.376,0.004,100,100,,,,,,,
                Yahoo Indonesia Homepages,Corporate Presence,1.962,0.001,100,100,,,,,,,
            Yahoo Mail,"Services, Services - e-mail",80981.566,36.143,100,100,100,21190.999,18845.3,14104.118,1450745.499,12.99,17.915
                Yahoo U.S. Mail,"Services - e-mail, Services",80233.912,35.81,100,100,100,20982.259,18552.514,13824.133,1430554.909,12.969,17.83
                    Yahoo Address Book,"Services - e-mail, Services",70.14,0.031,100,100,100,2.403,0.048,0.118,74.507,0.65,1.062
                Yahoo Calendar,Services,2721.038,1.214,100,100,100,144.963,6.078,9.893,4952.189,1.227,1.82
                Yahoo UK & Ireland Mail,"Services - e-mail, Services",940.432,0.42,100,100,100,105.865,34.132,35.415,4840.274,7.052,5.147
                Yahoo Canada Mail,"Services - e-mail, Services",337.427,0.151,100,100,100,75.716,37.884,29.83,3751.685,10.098,11.119
                Yahoo India Mail,"Services, Services - e-mail",278.149,0.124,100,100,100,82.148,34.335,32.826,4881.545,7.034,17.55
                Yahoo Spain Mail,"Services, Services - e-mail",275.206,0.123,100,100,100,31.656,16.12,20.848,1607.681,10.027,5.842
                Yahoo France Mail,"Services - e-mail, Services",198.431,0.089,100,100,100,40.638,20.456,20.948,2026.862,10.092,10.214
                Yahoo Asia Mail,"Services, Services - e-mail",136.407,0.061,100,100,100,24.603,19.683,14.565,1529.543,12.868,11.213
                Yahoo Mexico Correo,"Services - e-mail, Services",115.981,0.052,100,100,100,26.926,16.408,16.311,1752.569,9.362,15.111
                Yahoo7 Mail,"Services, Services - e-mail",96.698,0.043,100,100,100,14.371,6.127,6.594,597.369,10.257,6.178
                Yahoo Taiwan Mail,"Services - e-mail, Services",86.511,0.039,100,100,100,14.569,11.153,6.729,924.846,12.059,10.691
