URL,Name,Data Types,Default Task,Attribute Types,# Instances,# Attributes,Year,Description
http://archive.ics.uci.edu/ml/datasets/2.4+GHZ+Indoor+Channel+Measurements,2.4 GHZ Indoor Channel Measurements,Multivariate,Classification,Real,7840,5,2018,"Measurement of the S21,consists of 10 sweeps, each sweep contains 601 frequency points with spacing of 0.167MHz to cover a 100MHz band centered at 2.4GHz."
http://archive.ics.uci.edu/ml/datasets/3D+Road+Network+%28North+Jutland%2C+Denmark%29,"3D Road Network (North Jutland, Denmark)","Sequential, Text","Regression, Clustering",Real,434874,4,2013,3D road network with highly accurate elevation information (+-20cm) from Denmark used in eco-routing and fuel/Co2-estimation routing algorithms.
http://archive.ics.uci.edu/ml/datasets/A+study+of++Asian+Religious+and+Biblical+Texts,A study of Asian Religious and Biblical Texts,"Multivariate, Text","Classification, Clustering",Integer,590,8265,2019,"Mainly from Project Gutenberg, we combine Upanishads, Yoga Sutras, Buddha Sutras, Tao Te Ching and Book of Wisdom, Book of Proverbs, Book of Ecclesiastes and Book of Ecclesiasticus"
http://archive.ics.uci.edu/ml/datasets/AAAI+2013+Accepted+Papers,AAAI 2013 Accepted Papers,Multivariate,Clustering,,150,5,2014,"This data set compromises the metadata for the 2013 AAAI conference's accepted papers (main track only), including paper titles, abstracts, and keywords of varying granularity."
http://archive.ics.uci.edu/ml/datasets/AAAI+2014+Accepted+Papers,AAAI 2014 Accepted Papers,Multivariate,Clustering,,399,6,2014,"This data set compromises the metadata for the 2014 AAAI conference's accepted papers, including paper titles, authors, abstracts, and keywords of varying granularity."
http://archive.ics.uci.edu/ml/datasets/Abalone,Abalone,Multivariate,Classification,"Categorical, Integer, Real",4177,8,1995,Predict the age of abalone from physical measurements
http://archive.ics.uci.edu/ml/datasets/Abscisic+Acid+Signaling+Network,Abscisic Acid Signaling Network,Multivariate,Causal-Discovery,Integer,300,43,2008,The objective is to determine the set of boolean rules that describe the interactions of the nodes within this plant signaling network. The dataset includes 300 separate boolean pseudodynamic simulations using an asynchronous update scheme.
http://archive.ics.uci.edu/ml/datasets/Absenteeism+at+work,Absenteeism at work,"Multivariate, Time-Series","Classification, Clustering","Integer, Real",740,21,2018,The database was created with records of absenteeism at work from July 2007 to July 2010 at a courier company in Brazil.
http://archive.ics.uci.edu/ml/datasets/Activities+of+Daily+Living+%28ADLs%29+Recognition+Using+Binary+Sensors,Activities of Daily Living (ADLs) Recognition Using Binary Sensors,"Multivariate, Sequential, Time-Series","Classification, Clustering",,2747,,2013,This dataset comprises information regarding the ADLs performed by two users on a daily basis in their own homes.
http://archive.ics.uci.edu/ml/datasets/Activity+Recognition+from+Single+Chest-Mounted+Accelerometer,Activity Recognition from Single Chest-Mounted Accelerometer,"Univariate, Sequential, Time-Series","Classification, Clustering",Real,,,2014,The dataset collects data from a wearable accelerometer mounted on the chest. The dataset is intended for Activity Recognition research purposes.
http://archive.ics.uci.edu/ml/datasets/Activity+Recognition+system+based+on+Multisensor+data+fusion+%28AReM%29,Activity Recognition system based on Multisensor data fusion (AReM),"Multivariate, Sequential, Time-Series",Classification,Real,42240,6,2016,This dataset contains temporal data from a Wireless Sensor Network worn by an actor performing the activities
http://archive.ics.uci.edu/ml/datasets/Activity+recognition+with+healthy+older+people+using+a+batteryless+wearable+sensor,Activity recognition with healthy older people using a batteryless wearable sensor,Sequential,Classification,Real,75128,9,2016,"Sequential motion data from 14 healthy older people aged 66 to 86 years old using a batteryless, wearable sensor on top of their clothing for the recognition of activities in clinical environments."
http://archive.ics.uci.edu/ml/datasets/Acute+Inflammations,Acute Inflammations,Multivariate,Classification,"Categorical, Integer",120,6,2009,"The data was created by a medical expert as a data set to test the expert system, which will perform the presumptive diagnosis of two diseases of the urinary system."
http://archive.ics.uci.edu/ml/datasets/Adult,Adult,Multivariate,Classification,"Categorical, Integer",48842,14,1996,"Predict whether income exceeds $50K/yr based on census data. Also known as ""Census Income"" dataset."
http://archive.ics.uci.edu/ml/datasets/Air+Quality,Air Quality,"Multivariate, Time-Series",Regression,Real,9358,15,2016,Contains the responses of a gas multisensor device deployed on the field in an Italian city. Hourly responses averages are recorded along with gas concentrations references from a certified analyzer.
http://archive.ics.uci.edu/ml/datasets/Air+quality,Air quality,"Multivariate, Time-Series",Regression,Real,9358,15,2016,Contains the responses of a gas multisensor device deployed on the field in an Italian city. Hourly responses averages are recorded along with gas concentrations references from a certified analyzer.
http://archive.ics.uci.edu/ml/datasets/Airfoil+Self-Noise,Airfoil Self-Noise,Multivariate,Regression,Real,1503,6,2014,"NASA data set, obtained from a series of aerodynamic and acoustic tests of two and three-dimensional airfoil blade sections conducted in an anechoic wind tunnel."
http://archive.ics.uci.edu/ml/datasets/Alcohol+QCM+Sensor+Dataset,Alcohol QCM Sensor Dataset,Multivariate,"Classification, Regression, Clustering",Real,125,8,2019,"Five different QCM gas sensors are used, and five different gas measurements (1-octanol, 1-propanol, 2-butanol, 2-propanol and 1-isobutanol) are conducted in each of these sensors."
http://archive.ics.uci.edu/ml/datasets/Amazon+Access+Samples,Amazon Access Samples,"Time-Series, Domain-Theory","Regression, Clustering, Causal-Discovery",,30000,20000,2011,Amazon's InfoSec is getting smarter about the way Access data is leveraged. This is an anonymized sample of access provisioned within the company.
http://archive.ics.uci.edu/ml/datasets/Amazon+Commerce+reviews+set,Amazon Commerce reviews set,"Multivariate, Text, Domain-Theory",Classification,Real,1500,10000,2011,The dataset is used for authorship identification in online Writeprint which is a new research field of pattern recognition.
http://archive.ics.uci.edu/ml/datasets/Annealing,Annealing,Multivariate,Classification,"Categorical, Integer, Real",798,38,,Steel annealing data
http://archive.ics.uci.edu/ml/datasets/Anonymous+Microsoft+Web+Data,Anonymous Microsoft Web Data,,Recommender-Systems,Categorical,37711,294,1998,Log of anonymous users of www.microsoft.com; predict areas of the web site a user visited based on data on other areas the user visited.
http://archive.ics.uci.edu/ml/datasets/Anuran+Calls+%28MFCCs%29,Anuran Calls (MFCCs),Multivariate,"Classification, Clustering",Real,7195,22,2017,"Acoustic features extracted from syllables of anuran (frogs) calls, including the family, the genus, and the species labels (multilabel)."
http://archive.ics.uci.edu/ml/datasets/Appliances+energy+prediction,Appliances energy prediction,"Multivariate, Time-Series",Regression,Real,19735,29,2017,Experimental data used to create regression models of appliances energy use in a low energy building.
http://archive.ics.uci.edu/ml/datasets/APS+Failure+at+Scania+Trucks,APS Failure at Scania Trucks,Multivariate,Classification,"Integer, Real",60000,171,2017,The datasets' positive class consists of component failures for a specific component of the APS system. The negative class consists of trucks with failures for components not related to the APS.
http://archive.ics.uci.edu/ml/datasets/Arcene,Arcene,Multivariate,Classification,Real,900,10000,2008,ARCENE's task is to distinguish cancer versus normal patterns from mass-spectrometric data. This is a two-class classification problem with continuous input variables. This dataset is one of 5 datasets of the NIPS 2003 feature selection challenge.
http://archive.ics.uci.edu/ml/datasets/Arrhythmia,Arrhythmia,Multivariate,Classification,"Categorical, Integer, Real",452,279,1998,Distinguish between the presence and absence of cardiac arrhythmia and classify it in one of the 16 groups.
http://archive.ics.uci.edu/ml/datasets/Artificial+Characters,Artificial Characters,Multivariate,Classification,"Categorical, Integer, Real",6000,7,1992,Dataset artificially generated by using first order theory which describes structure of ten capital letters of English alphabet
http://archive.ics.uci.edu/ml/datasets/Audiology+%28Original%29,Audiology (Original),Multivariate,Classification,Categorical,226,,1987,Nominal audiology dataset from Baylor
http://archive.ics.uci.edu/ml/datasets/Audiology+%28Standardized%29,Audiology (Standardized),Multivariate,Classification,Categorical,226,69,1992,Standardized version of the original audiology database
http://archive.ics.uci.edu/ml/datasets/Audit+Data,Audit Data,Multivariate,Classification,Real,777,18,2018,Exhaustive one year non-confidential data in the year 2015 to 2016 of firms is collected from the Auditor Office of India to build a predictor for classifying suspicious firms.
http://archive.ics.uci.edu/ml/datasets/Australian+Sign+Language+signs,Australian Sign Language signs,"Multivariate, Time-Series",Classification,"Categorical, Real",6650,15,1999,This data consists of sample of Auslan (Australian Sign Language) signs. Examples of 95 signs were collected from five signers with a total of 6650 sign samples.
http://archive.ics.uci.edu/ml/datasets/Australian+Sign+Language+signs+%28High+Quality%29,Australian Sign Language signs (High Quality),"Multivariate, Time-Series",Classification,Real,2565,22,2002,This data consists of sample of Auslan (Australian Sign Language) signs. 27 examples of each of 95 Auslan signs were captured from a native signer using high-quality position trackers
