detailsPageUrl,carat,date,dateSet,price,strikethroughPrice,pricePerCarat,skus,id,shapeCode,shapeName,clarity,color,culet,depth,fluorescence,lxwRatio,polish,symmetry,table,hasVisualization,visualizationImageUrl,v360BaseUrl,willArriveForHoliday,imageUrl,sellingIndex,sold,quickShip,cut1,measure1,measure2,measure3
./diamond-details/LD13968273,0.23,22-Jul,23-Jul,$255 ,,"$1,109 ",LD13968273,LD13968273,RD,Round,SI1,E,None,64.1,None,1,Excellent,Very Good,56,FALSE,,,FALSE,,0.8375235,FALSE,TRUE,,3.85,3.84,2.46
./diamond-details/LD13958557,0.23,14-Aug,17-Aug,$259 ,,"$1,126 ",LD13958557,LD13958557,RD,Round,VS1,I,None,61.1,Faint,1.01,Very Good,Very Good,63,FALSE,,,FALSE,,0.8941792,FALSE,FALSE,,3.94,3.96,2.41
./diamond-details/LD13968250,0.23,22-Jul,23-Jul,$259 ,$274 ,"$1,126 ",LD13968250,LD13968250,RD,Round,SI1,E,None,62.6,Faint,1,Good,Very Good,58,FALSE,,,FALSE,,0.8480984,FALSE,TRUE,,3.91,3.9,2.44
./diamond-details/LD12310050,0.31,14-Aug,17-Aug,$260 ,$273 ,$839 ,LD12310050,LD12310050,RD,Round,SI2,G,None,62.5,Faint,1.01,Very Good,Very Good,57,TRUE,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-6291647573/still_230x230.jpg,https://bluenile.v360.in/50/imaged/gia-6291647573/1/,FALSE,,0.8962754,FALSE,FALSE,,4.32,4.36,2.71
./diamond-details/LD13713763,0.23,14-Aug,17-Aug,$260 ,,"$1,130 ",LD13713763,LD13713763,RD,Round,VS2,I,None,59.3,None,1.01,Excellent,Excellent,61,FALSE,,,FALSE,,0.8212312,FALSE,FALSE,,3.99,4.02,2.38
./diamond-details/LD13934863,0.31,6-Aug,7-Aug,$261 ,,$842 ,LD13934863,LD13934863,RD,Round,SI2,G,None,62.1,None,1,Very Good,Excellent,56,TRUE,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-1283527057/still_230x230.jpg,https://bluenile.v360.in/50/imaged/gia-1283527057/1/,FALSE,,0.88695467,FALSE,FALSE,,4.34,4.32,2.69
./diamond-details/LD13885618,0.3,6-Aug,7-Aug,$262 ,,$873 ,LD13885618,LD13885618,RD,Round,SI2,F,None,62.1,None,1,Excellent,Very Good,57,TRUE,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-6281165479/still_230x230.jpg,https://bluenile.v360.in/50/imaged/gia-6281165479/1/,FALSE,,0.9114641,FALSE,FALSE,,4.3,4.28,2.67
./diamond-details/LD13958574,0.23,14-Aug,17-Aug,$264 ,,"$1,148 ",LD13958574,LD13958574,RD,Round,VS1,I,None,58.8,Faint,1.01,Very Good,Very Good,61,FALSE,,,FALSE,,0.85409427,FALSE,FALSE,,3.99,4.03,2.36
./diamond-details/LD13974172,0.3,11-Aug,12-Aug,$264 ,,$880 ,LD13974172,LD13974172,RD,Round,SI1,K,None,64,Faint,1.01,Excellent,Good,56,FALSE,,,FALSE,,0.92533207,FALSE,FALSE,,4.2,4.17,2.68
./diamond-details/LD12744303,0.3,14-Aug,17-Aug,$266 ,,$887 ,LD12744303,LD12744303,RD,Round,VS1,K,None,61.1,Medium Blue,1,Excellent,Excellent,59,FALSE,,,FALSE,,0.8637517,FALSE,FALSE,,4.34,4.33,2.65
